======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              30 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;  bisim-up;bisim-up-cached;  congr-up;congr-up-cached;      '<=';
     A0070;     A0055;    0.0473;    0.0300;    0.0282;    0.0198;    0.0183;         0;        ok;
     A0070;     A0056;    0.0123;    0.0288;    0.0223;    0.0325;    0.0301;         0;        ok;
     A0070;     A0057;    0.0677;    0.0212;    0.0196;    0.0307;    0.0305;         0;        ok;
     A0070;     A0058;    0.0836;    0.0339;    0.0199;    0.0218;    0.0200;         0;        ok;
     A0070;     A0059;    0.0761;    0.0316;    0.0200;    0.0340;    0.0201;         0;        ok;
     A0070;     A0060;    0.0721;    0.0319;    0.0304;    0.0211;    0.0219;         0;        ok;
     A0070;     A0062;    0.0629;    0.0280;    0.0224;    0.0218;    0.0316;         0;        ok;
     A0070;     A0063;    0.0168;    0.6077;    0.1856;    0.4214;    0.1525;         0;        ok;
     A0070;     A0064;    0.0263;    0.6078;    0.1956;    0.4110;    0.1381;         0;        ok;
     A0070;     A0065;    0.0166;    0.6022;    0.1854;    0.4290;    0.1672;         0;        ok;
     A0070;     A0070;    0.2807;   16.4117;    2.9993;    1.8778;    0.8094;         1;        ok;
     A0070;     A0080;    0.0184;    0.2013;    0.1003;    0.1595;    0.1086;         0;        ok;
     A0070;     A0082;    0.0190;    0.2383;    0.1086;    0.1485;    0.0783;         0;        ok;
     A0070;     A0083;    0.0306;    0.2274;    0.1080;    0.1494;    0.0782;         0;        ok;
     A0070;     A0086;    0.1483;    0.3238;    0.1888;    0.2303;    0.1129;         0;        ok;
     A0070;     A0087;    0.0221;    0.1516;    0.0972;    0.0908;    0.0803;         0;        ok;
     A0070;     A0088;    0.0226;    0.1593;    0.0763;    0.0975;    0.0744;         0;        ok;
     A0070;     A0089;    0.0222;    0.1421;    0.0736;    0.1027;    0.0777;         0;        ok;
     A0080;     A0053;    0.0125;    0.0228;    0.0296;    0.0240;    0.0311;         0;        ok;
     A0080;     A0054;    0.0231;    0.0337;    0.0246;    0.0337;    0.0250;         0;        ok;
     A0080;     A0055;    0.0226;    0.0367;    0.0296;    0.0245;    0.0347;         0;        ok;
     A0080;     A0056;    0.0222;    0.0275;    0.0351;    0.0378;    0.0331;         0;        ok;
     A0080;     A0057;    0.0150;    0.0392;    0.0233;    0.0384;    0.0236;         0;        ok;
     A0080;     A0058;    0.0228;    0.0402;    0.0366;    0.0295;    0.0314;         0;        ok;
     A0080;     A0059;    0.0203;    0.0285;    0.0268;    0.0402;    0.0369;         0;        ok;
     A0080;     A0060;    0.0240;    0.0333;    0.0225;    0.0338;    0.0226;         0;        ok;
     A0080;     A0062;    0.0151;    0.0389;    0.0239;    0.0335;    0.0362;         0;        ok;
     A0080;     A0063;    0.0269;    0.1930;    0.0789;    0.1267;    0.0714;         0;        ok;
     A0080;     A0064;    0.0180;    0.1992;    0.0910;    0.1340;    0.0654;         0;        ok;
     A0080;     A0065;    0.0170;    0.1816;    0.0888;    0.1244;    0.0749;         0;        ok;
     A0080;     A0070;    0.0295;    0.2002;    0.1105;    0.1363;    0.0924;         0;        ok;
     A0080;     A0080;    0.3905;         -;         -;    9.6517;    1.7431;         1;        ok;
     A0080;     A0082;    0.2107;    4.4354;    0.8995;    1.2454;    0.5215;         0;        ok;
     A0080;     A0083;    0.2084;    4.3969;    0.8575;    1.2992;    0.4578;         0;        ok;
     A0080;     A0086;    0.0470;    0.3601;    0.1732;    0.2009;    0.1152;         0;        ok;
     A0080;     A0087;    0.0381;    0.2103;    0.1059;    0.1148;    0.0765;         0;        ok;
     A0080;     A0088;    0.0234;    0.1990;    0.1057;    0.1378;    0.0975;         0;        ok;
