
Antichain percentiles
percentile;time;
0.0241;0.0203;0.0279;
0.0241;0.0175;0.0307;
0.02415;0.0208;0.0275;
0.0244;0.0231;0.0257;
0.02495;0.0236;0.0263;
0.02505;0.0201;0.03;
0.0254;0.0255;0.0253;
0.02555;0.0241;0.027;
0.0256;0.0242;0.027;
0.0256;0.024;0.0272;
0.02575;0.0244;0.0271;
0.02595;0.0245;0.0274;
0.02595;0.024;0.0279;
0.02605;0.0246;0.0275;
0.02605;0.0257;0.0264;
0.0261;0.0251;0.0271;
0.0261;0.0238;0.0284;
0.02625;0.0244;0.0281;
0.02655;0.027;0.0261;
0.0266;0.0201;0.0331;
0.02665;0.0237;0.0296;
0.02675;0.022;0.0315;
0.02685;0.0249;0.0288;
0.02695;0.0253;0.0286;
0.02705;0.0262;0.0279;
0.0272;0.0262;0.0282;
0.0272;0.0317;0.0227;
0.02745;0.0258;0.0291;
0.0277;0.0215;0.0339;
0.02785;0.0262;0.0295;
0.02825;0.0264;0.0301;
0.02875;0.0333;0.0242;
0.0288;0.0267;0.0309;
0.0289;0.0246;0.0332;
0.02935;0.0277;0.031;
0.0295;0.0256;0.0334;
0.03085;0.0258;0.0359;
0.0313;0.0383;0.0243;
0.0321;0.0338;0.0304;
0.0328;0.0196;0.046;
0.03295;0.032;0.0339;
0.033;0.0308;0.0352;
0.03315;0.0317;0.0346;
0.0336;0.0285;0.0387;
0.0336;0.0336;0.0336;
0.0363;0.0288;0.0438;
0.03765;0.0344;0.0409;
0.03825;0.0393;0.0372;
0.03895;0.0383;0.0396;
0.039;0.0309;0.0471;
0.0399;0.038;0.0418;
0.04405;0.0338;0.0543;
0.0445;0.0303;0.0587;
0.05475;0.0484;0.0611;
0.05765;0.0287;0.0866;
0.06975;0.116;0.0235;
0.07885;0.0637;0.094;
0.0847;0.134;0.0354;
0.1595;0.2324;0.0866;
0.2561;0.2526;0.2596;
0.26325;0.1947;0.3318;
0.26525;0.2895;0.241;
0.30845;0.2454;0.3715;
0.30885;0.2538;0.3639;
0.30955;0.2494;0.3697;
0.3149;0.2703;0.3595;
0.32905;0.2624;0.3957;
0.33285;0.2991;0.3666;
0.3602;0.2841;0.4363;
0.3787;0.3196;0.4378;
0.3856;0.3933;0.3779;
0.3862;0.3166;0.4558;
0.4076;0.3974;0.4178;
0.5386;0.6977;0.3795;
0.54685;0.689;0.4047;
0.569;0.7726;0.3654;
0.5881;0.7959;0.3803;
0.68105;0.4655;0.8966;
0.7055;0.9235;0.4875;

Scatter data eq
dificculity;antichain;bisimulation;
0.0321;0.0338;0.0304;
0.0336;0.0285;0.0387;
0.0363;0.0288;0.0438;
0.039;0.0309;0.0471;
0.04405;0.0338;0.0543;
0.0445;0.0303;0.0587;
0.05475;0.0484;0.0611;
0.05765;0.0287;0.0866;
0.07885;0.0637;0.094;
0.1595;0.2324;0.0866;
0.2561;0.2526;0.2596;
0.26325;0.1947;0.3318;
0.26525;0.2895;0.241;
0.30845;0.2454;0.3715;
0.30885;0.2538;0.3639;
0.30955;0.2494;0.3697;
0.3149;0.2703;0.3595;
0.32905;0.2624;0.3957;
0.33285;0.2991;0.3666;
0.3602;0.2841;0.4363;
0.3787;0.3196;0.4378;
0.3856;0.3933;0.3779;
0.3862;0.3166;0.4558;
0.4076;0.3974;0.4178;
0.5386;0.6977;0.3795;
0.54685;0.689;0.4047;
0.569;0.7726;0.3654;
0.5881;0.7959;0.3803;
0.68105;0.4655;0.8966;
0.7055;0.9235;0.4875;

Scatter data neq
dificculity;antichain;bisimulation;
0.00565;0.0051;0.0062;
