======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              5 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;  congr-up;      '<=';
     A0083;     A0089;    0.0243;    0.0259;         0;        ok;
     A0086;     A0053;    0.0209;    0.0202;         0;        ok;
     A0086;     A0054;    0.0229;    0.0215;         0;        ok;
     A0086;     A0055;    0.0160;    0.0150;         0;        ok;
     A0086;     A0056;    0.0164;    0.0156;         0;        ok;
     A0086;     A0057;    0.0161;    0.0154;         0;        ok;
     A0086;     A0058;    0.0230;    0.0217;         0;        ok;
     A0086;     A0059;    0.0208;    0.0184;         0;        ok;
     A0086;     A0060;    0.0183;    0.0181;         0;        ok;
     A0086;     A0062;    0.0230;    0.0216;         0;        ok;
     A0086;     A0063;    0.0283;    0.0311;         0;        ok;
     A0086;     A0064;    0.0287;    0.0315;         0;        ok;
     A0086;     A0065;    0.0290;    0.0316;         0;        ok;
     A0086;     A0070;    0.0318;    0.0297;         0;        ok;
     A0086;     A0080;    0.0341;    0.0433;         0;        ok;
     A0086;     A0082;    0.0306;    0.0330;         0;        ok;
     A0086;     A0083;    0.0291;    0.0317;         0;        ok;
     A0086;     A0086;    0.4707;    0.3954;         1;        ok;
     A0086;     A0087;    0.0377;    0.0407;         0;        ok;
     A0086;     A0088;    0.0268;    0.0294;         0;        ok;
     A0086;     A0089;    0.0307;    0.0329;         0;        ok;
     A0087;     A0053;    0.0193;    0.0113;         0;        ok;
     A0087;     A0054;    0.0241;    0.0117;         0;        ok;
     A0087;     A0055;    0.0284;    0.0158;         0;        ok;
     A0087;     A0056;    0.0272;    0.0119;         0;        ok;
     A0087;     A0057;    0.0359;    0.0145;         0;        ok;
     A0087;     A0058;    0.0393;    0.0183;         0;        ok;
     A0087;     A0059;    0.0418;    0.0181;         0;        ok;
     A0087;     A0060;    0.0343;    0.0177;         0;        ok;
     A0087;     A0062;    0.0348;    0.0180;         0;        ok;
     A0087;     A0063;    0.0805;    0.0236;         0;        ok;
     A0087;     A0064;    0.0860;    0.0255;         0;        ok;
     A0087;     A0065;    0.0893;    0.0236;         0;        ok;
     A0087;     A0070;    0.0856;    0.0256;         0;        ok;
     A0087;     A0080;    0.0824;    0.0291;         0;        ok;
     A0087;     A0082;    0.4113;    0.0261;         0;        ok;
     A0087;     A0083;    0.4484;    0.0249;         0;        ok;
     A0087;     A0086;    0.0867;    0.0247;         0;        ok;
     A0087;     A0087;    0.8263;    0.1053;         1;        ok;
     A0087;     A0088;    0.9066;    0.1082;         1;        ok;
     A0087;     A0089;    0.1229;    0.0742;         0;        ok;
     A0088;     A0053;    0.0191;    0.0160;         0;        ok;
     A0088;     A0054;    0.0151;    0.0122;         0;        ok;
     A0088;     A0055;    0.0197;    0.0163;         0;        ok;
     A0088;     A0056;    0.0218;    0.0175;         0;        ok;
     A0088;     A0057;    0.0154;    0.0122;         0;        ok;
     A0088;     A0058;    0.0218;    0.0172;         0;        ok;
     A0088;     A0059;    0.0156;    0.0127;         0;        ok;
     A0088;     A0060;    0.0209;    0.0171;         0;        ok;
     A0088;     A0062;    0.0209;    0.0175;         0;        ok;
     A0088;     A0063;    0.0292;    0.0241;         0;        ok;
     A0088;     A0064;    0.0265;    0.0230;         0;        ok;
     A0088;     A0065;    0.0263;    0.0229;         0;        ok;
     A0088;     A0070;    0.0274;    0.0233;         0;        ok;
     A0088;     A0080;    0.0283;    0.0248;         0;        ok;
     A0088;     A0082;    0.3903;    0.0255;         0;        ok;
     A0088;     A0083;    0.3846;    0.0255;         0;        ok;
     A0088;     A0086;    0.0374;    0.0348;         0;        ok;
     A0088;     A0087;    1.0316;    0.1504;         1;        ok;
     A0088;     A0088;    0.6568;    0.1129;         1;        ok;
     A0088;     A0089;    0.0334;    0.1019;         0;        ok;
     A0089;     A0053;    0.0181;    0.0158;         0;        ok;
     A0089;     A0054;    0.0134;    0.0119;         0;        ok;
     A0089;     A0055;    0.0127;    0.0113;         0;        ok;
     A0089;     A0056;    0.0198;    0.0183;         0;        ok;
     A0089;     A0057;    0.0137;    0.0126;         0;        ok;
     A0089;     A0058;    0.0186;    0.0170;         0;        ok;
     A0089;     A0059;    0.0148;    0.0122;         0;        ok;
     A0089;     A0060;    0.0137;    0.0124;         0;        ok;
     A0089;     A0062;    0.0188;    0.0171;         0;        ok;
     A0089;     A0063;    0.0224;    0.0224;         0;        ok;
     A0089;     A0064;    0.0220;    0.0225;         0;        ok;
     A0089;     A0065;    0.0157;    0.0160;         0;        ok;
     A0089;     A0070;    0.0227;    0.0229;         0;        ok;
     A0089;     A0080;    0.0247;    0.0250;         0;        ok;
     A0089;     A0082;    0.3706;    0.0248;         0;        ok;
     A0089;     A0083;    0.4013;    0.0263;         0;        ok;
     A0089;     A0086;    0.4056;    0.0340;         0;        ok;
     A0089;     A0087;    0.5820;    0.0983;         0;        ok;
     A0089;     A0088;    0.4714;    0.1052;         0;        ok;
     A0089;     A0089;    0.9446;    0.1442;         1;        ok;
