======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0062;     A0082;    0.0141;    0.0237;         0;        ok;
     A0062;     A0083;    0.0142;    0.0236;         0;        ok;
     A0062;     A0086;    0.0223;    0.0414;         0;        ok;
     A0062;     A0087;    0.0179;    0.0295;         0;        ok;
     A0062;     A0088;    0.0176;    0.0295;         0;        ok;
     A0062;     A0089;    0.0175;    0.0293;         0;        ok;
     A0063;     A0053;    0.0110;    0.0169;         0;        ok;
     A0063;     A0054;    0.0158;    0.0188;         0;        ok;
     A0063;     A0055;    0.0120;    0.0179;         0;        ok;
     A0063;     A0056;    0.0124;    0.0189;         0;        ok;
     A0063;     A0057;    0.0129;    0.0203;         0;        ok;
     A0063;     A0058;    0.0134;    0.0240;         0;        ok;
     A0063;     A0059;    0.0147;    0.0216;         0;        ok;
     A0063;     A0060;    0.0132;    0.0189;         0;        ok;
     A0063;     A0062;    0.0174;    0.0222;         0;        ok;
     A0063;     A0063;    0.3360;    1.0004;         1;        ok;
     A0063;     A0064;    0.3686;    0.9921;         1;        ok;
     A0063;     A0065;    0.3642;    1.0005;         1;        ok;
     A0063;     A0070;    0.0175;    0.0903;         0;        ok;
     A0063;     A0080;    0.1985;    0.0613;         0;        ok;
     A0063;     A0082;    0.1699;    0.0684;         0;        ok;
     A0063;     A0083;    0.1607;    0.0684;         0;        ok;
     A0063;     A0086;    0.0268;    0.1033;         0;        ok;
     A0063;     A0087;    0.0206;    0.0520;         0;        ok;
     A0063;     A0088;    0.0221;    0.0536;         0;        ok;
     A0063;     A0089;    0.0206;    0.0513;         0;        ok;
     A0064;     A0053;    0.0111;    0.0170;         0;        ok;
     A0064;     A0054;    0.0197;    0.0184;         0;        ok;
     A0064;     A0055;    0.0121;    0.0176;         0;        ok;
     A0064;     A0056;    0.0118;    0.0184;         0;        ok;
     A0064;     A0057;    0.0125;    0.0188;         0;        ok;
     A0064;     A0058;    0.0130;    0.0193;         0;        ok;
     A0064;     A0059;    0.0133;    0.0192;         0;        ok;
     A0064;     A0060;    0.0131;    0.0187;         0;        ok;
     A0064;     A0062;    0.0204;    0.0202;         0;        ok;
     A0064;     A0063;    0.3578;    0.7986;         1;        ok;
     A0064;     A0064;    0.3294;    0.7872;         1;        ok;
     A0064;     A0065;    0.3615;    0.7957;         1;        ok;
     A0064;     A0070;    0.0177;    0.1837;         0;        ok;
     A0064;     A0080;    0.2285;    0.0615;         0;        ok;
     A0064;     A0082;    0.1994;    0.0694;         0;        ok;
     A0064;     A0083;    0.1961;    0.0688;         0;        ok;
     A0064;     A0086;    0.0285;    0.1054;         0;        ok;
     A0064;     A0087;    0.0207;    0.0524;         0;        ok;
     A0064;     A0088;    0.0211;    0.0525;         0;        ok;
     A0064;     A0089;    0.0206;    0.0520;         0;        ok;
     A0065;     A0053;    0.0109;    0.0168;         0;        ok;
     A0065;     A0054;    0.0200;    0.0184;         0;        ok;
     A0065;     A0055;    0.0123;    0.0172;         0;        ok;
     A0065;     A0056;    0.0120;    0.0189;         0;        ok;
     A0065;     A0057;    0.0126;    0.0187;         0;        ok;
     A0065;     A0058;    0.0129;    0.0187;         0;        ok;
     A0065;     A0059;    0.0129;    0.0190;         0;        ok;
     A0065;     A0060;    0.0128;    0.0183;         0;        ok;
     A0065;     A0062;    0.0194;    0.0189;         0;        ok;
     A0065;     A0063;    0.3426;    1.0071;         1;        ok;
     A0065;     A0064;    0.3507;    1.0000;         1;        ok;
     A0065;     A0065;    0.3060;    1.0181;         1;        ok;
     A0065;     A0070;    0.0169;    0.0885;         0;        ok;
     A0065;     A0080;    0.2004;    0.0622;         0;        ok;
     A0065;     A0082;    0.1875;    0.0672;         0;        ok;
     A0065;     A0083;    0.1998;    0.0703;         0;        ok;
     A0065;     A0086;    0.0275;    0.1029;         0;        ok;
     A0065;     A0087;    0.0206;    0.0519;         0;        ok;
     A0065;     A0088;    0.0208;    0.0531;         0;        ok;
     A0065;     A0089;    0.0216;    0.0524;         0;        ok;
     A0070;     A0053;    0.0116;    0.0184;         0;        ok;
     A0070;     A0054;    0.0547;    0.0193;         0;        ok;
     A0070;     A0055;    0.0455;    0.0183;         0;        ok;
     A0070;     A0056;    0.0123;    0.0196;         0;        ok;
     A0070;     A0057;    0.0578;    0.0196;         0;        ok;
     A0070;     A0058;    0.0701;    0.0199;         0;        ok;
     A0070;     A0059;    0.0741;    0.0205;         0;        ok;
     A0070;     A0060;    0.0693;    0.0195;         0;        ok;
     A0070;     A0062;    0.0496;    0.0202;         0;        ok;
     A0070;     A0063;    0.0165;    0.1326;         0;        ok;
     A0070;     A0064;    0.0164;    0.1341;         0;        ok;
     A0070;     A0065;    0.0163;    0.1320;         0;        ok;
     A0070;     A0070;    0.2771;    0.6954;         1;        ok;
     A0070;     A0080;    0.0191;    0.0669;         0;        ok;
     A0070;     A0082;    0.0187;    0.0738;         0;        ok;
     A0070;     A0083;    0.0187;    0.0728;         0;        ok;
     A0070;     A0086;    0.1440;    0.1027;         0;        ok;
     A0070;     A0087;    0.0221;    0.0569;         0;        ok;
     A0070;     A0088;    0.0223;    0.0568;         0;        ok;
     A0070;     A0089;    0.0214;    0.0546;         0;        ok;
     A0080;     A0053;    0.0126;    0.0203;         0;        ok;
     A0080;     A0054;    0.0136;    0.0222;         0;        ok;
     A0080;     A0055;    0.0140;    0.0208;         0;        ok;
     A0080;     A0056;    0.0132;    0.0216;         0;        ok;
     A0080;     A0057;    0.0137;    0.0241;         0;        ok;
     A0080;     A0058;    0.0142;    0.0226;         0;        ok;
     A0080;     A0059;    0.0138;    0.0224;         0;        ok;
     A0080;     A0060;    0.0146;    0.0221;         0;        ok;
     A0080;     A0062;    0.0143;    0.0228;         0;        ok;
     A0080;     A0063;    0.0170;    0.0610;         0;        ok;
     A0080;     A0064;    0.0169;    0.0613;         0;        ok;
     A0080;     A0065;    0.0170;    0.0612;         0;        ok;
     A0080;     A0070;    0.0183;    0.0668;         0;        ok;
     A0080;     A0080;    0.2536;    1.5901;         1;        ok;
     A0080;     A0082;    0.1351;    0.4421;         0;        ok;
     A0080;     A0083;    0.1352;    0.4407;         0;        ok;
     A0080;     A0086;    0.0290;    0.1093;         0;        ok;
     A0080;     A0087;    0.0223;    0.0692;         0;        ok;
     A0080;     A0088;    0.0234;    0.0724;         0;        ok;
     A0080;     A0089;    0.0222;    0.0695;         0;        ok;
     A0082;     A0053;    0.0132;    0.0209;         0;        ok;
     A0082;     A0054;    0.0141;    0.0226;         0;        ok;
